ENAME,risk_label,risk_score,danger,avg_rainfall,total_buildings,mean_height,plot_r,Median_Time,Type_Industrial,Type_Office/Commercial,Type_Residential/Composite,Type_Others,Waterfront,Mean_Elev,Elev_Var,Elev_Min,Elev_Max,t_pop,adhz,ma_hh,pop_pub,pop_s,pop_pri,pop_non,pop_tem,dm_r
Belcher,Medium Risk,0.49136591068716035,27.5,6.47,90,15.917777777777765,3.380648508235867,1987.0,0.0,4.0,105.0,3.0,1,40.39354838709676,67,9,94,20187,2.8,45170,0,0,19986,190,11,16300.0
Sai Wan,Medium Risk,0.33991800736622824,19.1,6.16,112,14.834821428571423,2.8156337173876955,1980.0,1.0,2.0,116.0,0.0,1,32.60000000000002,54,7,76,14650,2.5,37040,0,0,14419,229,2,13000.0
Kennedy Town & Mount Davis,Medium Risk,0.32237732180905093,18.1,5.61,218,13.849999999999994,0.5347853182686322,1983.0,5.0,6.0,120.0,21.0,1,97.69949312092679,246,0,252,16030,2.5,47540,2010,0,13966,54,0,15000.0
Choi Wan South,Medium Risk,0.3917527229662818,22.0,7.01,12,7.933333333333332,0.1348700819294401,1987.5,0.0,1.0,35.0,5.0,0,58.57303370786516,37,31,80,12309,2.9,22670,12256,0,0,53,0,2240.0
Tung Tau,High Risk,0.7530650775287661,42.2,6.86,52,18.488461538461554,1.791571993955521,1999.0,0.0,0.0,16.0,9.0,0,13.003636363636362,28,2,29,20966,2.6,20000,7624,6685,6618,20,19,2620.0
Choi Hung,Low Risk,0.14465637891942135,8.1,6.86,21,14.333333333333321,2.8834863470408743,1964.0,0.0,0.0,9.0,8.0,0,14.500000000000002,12,9,20,14773,2.6,17520,14773,0,0,0,0,1960.0
Tung Mei,Medium Risk,0.6282156198032316,35.2,6.86,63,12.677777777777777,0.9406219365217596,1998.0,0.0,0.0,7.0,12.0,0,21.35869565217392,34,8,42,15205,2.7,20830,5508,8816,823,58,0,2170.0
Centre Street,Low Risk,0.29987220990301766,16.8,6.47,282,12.19113475177306,10.32979697949857,1979.0,0.0,14.0,223.0,0.0,0,42.73387096774194,53,16,89,14521,2.3,35040,0,0,13747,773,1,13500.0
Fung Tak,Medium Risk,0.5269054709371831,29.5,7.36,26,13.59615384615384,1.6220976680303867,1987.5,0.0,1.0,35.0,5.0,0,47.98373983739838,38,28,77,14456,2.5,20010,1697,12448,202,109,0,1810.0
Lung Sing,Medium Risk,0.6501222347216775,36.4,7.36,118,12.10254237288137,0.8703970693913693,1997.5,0.0,1.0,14.0,27.0,0,35.4647696476965,88,5,97,18282,2.7,35850,0,8131,9772,379,0,16000.0
Fung Wong,Low Risk,0.28708288612630556,16.1,7.36,203,14.527586206896547,8.210603895227306,1970.5,0.0,2.0,163.0,13.0,0,37.88095238095239,57,12,72,15004,2.5,25200,0,0,14582,421,1,6600.0
Tsz Wan East,Medium Risk,0.3004244415655922,16.8,7.36,90,10.823333333333323,1.6965956994893001,1976.0,0.0,2.0,40.0,11.0,0,117.45394736842107,71,78,163,18495,3.1,25100,13034,1378,4072,11,0,3630.0
King Fu,Medium Risk,0.6990270984537404,39.2,7.36,61,14.291803278688533,0.2519501003816937,1998.0,0.0,0.0,10.0,5.0,0,234.8428650749581,463,52,541,20531,2.8,29120,5572,11374,3456,129,0,1960.0
Chuk Yuen North,Medium Risk,0.518651281664068,29.1,7.36,25,11.955999999999996,0.617267921607603,1989.0,0.0,0.0,0.0,5.0,0,107.91289198606266,124,53,217,14296,2.7,22480,1769,12355,123,49,0,2240.0
Tsz Wan West,Medium Risk,0.36295415139263715,20.3,7.36,76,10.526315789473664,1.047887152385078,1980.5,0.0,0.0,4.0,0.0,0,91.37696335078537,76,49,155,18747,2.9,21520,17810,0,580,357,0,3170.0
Tsui Chuk & Pang Ching,Medium Risk,0.42975330847862536,24.1,6.75,37,9.85405405405405,0.24894233854736167,1989.0,0.0,1.0,23.0,3.0,0,136.05341246290791,187,52,264,15961,2.8,27250,430,12300,3225,6,0,10000.0
Chuk Yuen South,Medium Risk,0.425808187011581,23.9,6.75,20,13.655,1.6771001623261832,1984.0,0.0,0.0,2.0,5.0,0,42.95999999999998,34,25,60,14349,2.4,16920,14247,0,20,82,0,1590.0
Siu Chi,Medium Risk,0.4026002113629706,22.6,5.03,113,15.765486725663706,2.1005257494791407,1989.0,0.0,0.0,65.0,4.0,0,17.55131964809383,31,7,37,20247,2.8,29440,0,0,19956,291,0,10000.0
Ching Oi,Medium Risk,0.5775572239481913,32.4,7.36,43,7.858139534883726,0.08897679088905558,1998.0,0.0,0.0,0.0,1.0,0,187.35077519379848,142,116,322,18666,2.8,30040,6940,11255,457,14,0,2930.0
Ching On,Medium Risk,0.4399261515127745,24.7,7.36,56,8.989285714285707,0.08880649589153843,1987.5,0.0,1.0,35.0,5.0,0,318.0318331503844,429,84,529,19336,2.8,20170,18063,1072,58,143,0,3240.0
Siu Hei,Medium Risk,0.42071941281547875,23.6,5.03,66,15.121212121212121,1.4668931854950786,1991.0,0.0,0.0,28.0,0.0,1,8.880239520958083,22,0,21,12206,2.6,27500,0,3273,8933,0,0,10000.0
Wu King,Medium Risk,0.4584456510573989,25.7,5.03,19,19.92631578947368,1.9056977375180206,1987.5,0.0,1.0,35.0,5.0,0,10.703296703296703,10,7,16,13070,3.0,20650,13017,0,0,53,0,1660.0
Butterfly,Low Risk,0.28089299817707875,15.7,5.03,45,10.522222222222222,0.5390809572096369,1987.5,0.0,1.0,35.0,5.0,0,14.209756097560977,14,6,19,15488,2.2,14450,10729,2238,2414,105,2,1230.0
